demographic_category	data_type	phenotype_description	historical_id	source_snomed_codes	search_strategy	entity_type_used	biomapper_curie	biomapper_name	biomapper_kg_id	confidence_score
Sex / Gender	Self-reported	What gender do you identify with at the moment?		SNOMEDCT:285116001;SNOMEDCT:33821000087103	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:285116001	What gender do you identify with at the moment?		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Aboriginal (e.g. North American Indian and Australian)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Aboriginal (e.g. North American Indian and Australian)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / African		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / African		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Arab/Middle Eastern (e.g. Egyptian, Iraqi, Lebanese, Moroccan, Palestinian, Syrian)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Arab/Middle Eastern (e.g. Egyptian, Iraqi, Lebanese, Moroccan, Palestinian, Syrian)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Australian/New Zealander		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Australian/New Zealander		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / British (e.g. English, Irish, Scottish, Welsh)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / British (e.g. English, Irish, Scottish, Welsh)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Caribbean (e.g. Barbadian, Cuban, Haitian, Jamaican, Trinidadian, Tobagonian)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Caribbean (e.g. Barbadian, Cuban, Haitian, Jamaican, Trinidadian, Tobagonian)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / East/Central Asian (e.g. Chinese, Japanese, Korean, Vietnamese, Filipino)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / East/Central Asian (e.g. Chinese, Japanese, Korean, Vietnamese, Filipino)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Eastern European (e.g. Czech Republic, Hungarian, Polish, Romanian, Russian)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Eastern European (e.g. Czech Republic, Hungarian, Polish, Romanian, Russian)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / French (e.g. French, Acadian, French Canadian)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / French (e.g. French, Acadian, French Canadian)		
