demographic_category	data_type	phenotype_description	historical_id	source_snomed_codes	resolution_method	kraken_curie	kraken_name	kraken_category	kraken_snomed_codes	candidates_with_snomed	top_snomed_candidate	confidence	matched_snomed
Sex / Gender	Self-reported	What gender do you identify with at the moment?		SNOMEDCT:285116001;SNOMEDCT:33821000087103	hybrid_search	UMLS:C4722293	Other Gender	biolink:PhenotypicFeature		1	rank:3|DOID:1234|SNOMEDCT:5095008;SNOMEDCT:87991007;SNOMEDCT:191787001	medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Aboriginal (e.g. North American Indian and Australian)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C5690858	Australian Aboriginal and Torres Strait Islander Peoples	biolink:PopulationOfIndividualOrganisms		1	rank:9|MONDO:0011497|SNOMEDCT:699189004	medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / African		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Arab/Middle Eastern (e.g. Egyptian, Iraqi, Lebanese, Moroccan, Palestinian, Syrian)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Australian/New Zealander		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / British (e.g. English, Irish, Scottish, Welsh)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Caribbean (e.g. Barbadian, Cuban, Haitian, Jamaican, Trinidadian, Tobagonian)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / East/Central Asian (e.g. Chinese, Japanese, Korean, Vietnamese, Filipino)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Eastern European (e.g. Czech Republic, Hungarian, Polish, Romanian, Russian)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / French (e.g. French, Acadian, French Canadian)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C1556084	French (ethnic group)	biolink:PopulationOfIndividualOrganisms		0		medium-high	
