idx	source	id	question	hpo_code	hpo_term	confidence
1	Arivale	arivale_1be3f0b97278	Anorexia	HP:0002039	Anorexia	1.00
2	Arivale	arivale_ae80cff35b6f	Ice cream	HP:0002315	Headache	1.00
3	Arivale	arivale_41eb4d814a64	Anemia (iron deficiency)	HP:0001891	Iron deficiency anemia	1.00
4	Arivale	arivale_89c2a8e59b9e	Malignant hyperthermia	HP:0002047	Malignant hyperthermia	1.00
5	Arivale	arivale_d3b973db7de4	Blocked lung artery (pulmonary embolus)	HP:0002204	Pulmonary embolism	1.00
6	Arivale	arivale_97d72368c67d	Other neurocognitive condition	HP:0001328	Specific learning disability	0.50
7	Arivale	arivale_8ad13f6d5c50	Are you currently lactating?	NO_MATCH	no_match	0.0
8	Arivale	arivale_931bf5f05cde	Heart Transplantation	HP:0001635	Congestive heart failure	0.50
9	Arivale	arivale_2ded7ae8a8c0	I don't find it easy to make decisions	HP:0012671	Abulia	0.70
10	Arivale	arivale_0b2423d12c80	I keep in the background	NO_MATCH	no_match	0.0
11	Arivale	arivale_76a6b5abdde3	What type of alcohol do you most often drink?	NO_MATCH	no_match	0.0
12	Arivale	arivale_7bd7893bc719	Water (e.g. 8 oz. cups)	NO_MATCH	no_match	0.0
13	Arivale	arivale_695e2bfe8d61	I don't have particularly happy memories of the past	NO_MATCH	no_match	0.0
14	Arivale	arivale_8967173e8387	Bronchitis (chronic)	HP:0004469	Chronic bronchitis	1.00
15	Arivale	arivale_7479d3921284	Myasthenia Gravis	HP:0003398	Abnormal synaptic transmission at the neuromuscular junction	0.90
16	Arivale	arivale_8d5730691993	High Blood Pressure	HP:0000822	Hypertension	1.00
17	Arivale	arivale_6e8bad147b51	100% fruit juice	NO_MATCH	no_match	0.0
18	Arivale	arivale_1c0039994c07	Vitiligo	HP:0001045	Vitiligo	1.00
19	Arivale	arivale_79119a07647d	I pay attention to details	NO_MATCH	no_match	0.0
20	Arivale	arivale_b088236b2e1b	Sarcoidosis	HP:0034388	Hilar lymph node enlargement	0.70
21	Arivale	arivale_6c326e1f1132	I follow a schedule	NO_MATCH	no_match	0.0
22	Arivale	arivale_937205d1b550	Chronic Fatigue Syndrome	HP:0003326	Myalgia	0.70
23	Arivale	arivale_d53bb9034eb7	Do you usually take sugar in tea?	NO_MATCH	no_match	0.0
24	Arivale	arivale_7970f2fd9a8f	Diverticulosis	HP:0005222	Bowel diverticulosis	1.00
25	Arivale	arivale_3b5cad159bd8	Carpal tunnel syndrome	HP:0012185	Constrictive median neuropathy	0.90
26	Arivale	arivale_3b770a326602	Peptic ulcer	HP:0004398	Peptic ulcer	1.00
27	Arivale	arivale_af342ae45a5f	Shortness of breath	HP:0002094	Dyspnea	1.00
28	Arivale	arivale_2224d17bff1f	Back pain or back problems	HP:0003416	Spinal canal stenosis	0.50
29	Arivale	arivale_648d4a3aa164	I don't feel particularly healthy	NO_MATCH	no_match	0.0
30	Arivale	arivale_e18a76d42266	Are you exposed to second-hand smoke?	HP:0430032	Electronic cigarette exposure history	0.70
