cluster_id	cluster_size	sources	num_sources	question_id	question_text	source_survey	avg_cluster_similarity
1	6	A,I,U	3	arivale_0a7e0a8029f4	Glaucoma	Arivale	0.776
1	6	A,I,U	3	arivale_4e54b76d6511	Glaucoma	Arivale	0.776
1	6	A,I,U	3	il10k_health_eyes_glaucoma_eye	Which eye(s) affected by glaucoma	Israeli10K	0.776
1	6	A,I,U	3	il10k_health_eyes_glaucoma_eye_start_age	Age glaucoma diagnosed	Israeli10K	0.776
1	6	A,I,U	3	ukbb_4689	ACE touchscreen question What was your age when glaucoma was first diagnosed?	UKBB	0.776
1	6	A,I,U	3	ukbb_6119	ACE touchscreen question Which eye(s) are affected by glaucoma?	UKBB	0.776
2	6	A,I,U	3	arivale_5ad437a9dcbe	Mild cognitive impairment (MCI)	Arivale	0.7493
2	6	A,I,U	3	arivale_a5fa788f205b	Macular degeneration	Arivale	0.7493
2	6	A,I,U	3	il10k_health_eyes_macular_degeneration_eye	Which eye(s) affected by macular degeneration	Israeli10K	0.7493
2	6	A,I,U	3	il10k_health_eyes_macular_degeneration_eye_start_age	Age macular degeneration diagnosed	Israeli10K	0.7493
2	6	A,I,U	3	ukbb_5912	ACE touchscreen question Which eye(s) are affected by macular degeneration?	UKBB	0.7493
2	6	A,I,U	3	ukbb_5923	ACE touchscreen question What was your age when macular degeneration was first diagnosed?	UKBB	0.7493
3	4	A,I,U	3	arivale_4dfab4b70190	Type 1 diabetes	Arivale	0.7317
3	4	A,I,U	3	arivale_38096642c0ea	Diabetes - Type 1	Arivale	0.7317
3	4	A,I,U	3	il10k_type_1_diabetes_family_number	Type 1 diabetes family number	Israeli10K	0.7317
3	4	A,I,U	3	ukbb_2986	ACE touchscreen question Did you start insulin within one year of your diagnosis of diabetes?	UKBB	0.7317
4	6	A,I,U	3	arivale_2c3eaefd1049	Cataracts	Arivale	0.7089
4	6	A,I,U	3	arivale_ce498191911e	Cataracts	Arivale	0.7089
4	6	A,I,U	3	il10k_cataract_year	Cataract year	Israeli10K	0.7089
4	6	A,I,U	3	il10k_laser_eye_surgery_age	Vision correction surgery	Israeli10K	0.7089
4	6	A,I,U	3	il10k_health_eyes_cataract_eye	Which eye(s) are affected by cataract	Israeli10K	0.7089
4	6	A,I,U	3	ukbb_5441	ACE touchscreen question Which eye(s) are affected by a cataract?	UKBB	0.7089
5	6	A,I,U	3	arivale_5c220be5e5b9	How often do you do MODERATE activities for at least 10 minutes? Moderate activities cause only light sweating or a moderate increase in breathing or heart rate (e.g., brisk walking, easy biking, tennis doubles, heavy cleaning or yard work).	Arivale	0.6872
5	6	A,I,U	3	arivale_308fed4ec68d	How often do you do VIGOROUS activities for at least 10 minutes? Vigorous activities cause heavy sweating or large increases in breathing and heart rate (e.g., hiking, jogging at 6 mph, fast bicycling, playing soccer or basketball, tennis - singles).	Arivale	0.6872
5	6	A,I,U	3	il10k_activity_moderate_days_weekly	Number of days/week of moderate physical activity 10+ minutes	Israeli10K	0.6872
5	6	A,I,U	3	il10k_activity_vigorous_days_weekly	Number of days/week of vigorous physical activity 10+ minutes	Israeli10K	0.6872
5	6	A,I,U	3	ukbb_884	ACE touchscreen question In a typical WEEK, on how many days did you do 10 minutes or more of moderate physical activities like carrying light loads, cycling at normal pace? (Do not include walking)	UKBB	0.6872
5	6	A,I,U	3	ukbb_904	ACE touchscreen question In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (These are activities that make you sweat or breathe hard such as fast cycling, a...	UKBB	0.6872
6	4	A,I,U	3	arivale_af342ae45a5f	Shortness of breath	Arivale	0.6866
6	4	A,I,U	3	il10k_shortness_of_breath_past_3_months	Degree bothered by shortness of breath in the last 3 months	Israeli10K	0.6866
6	4	A,I,U	3	il10k_health_breathing_shortness_breath_walking	Shortness of breath walking on level ground	Israeli10K	0.6866
