rank	similarity	source_survey	source_question	target_survey	target_question	source_id	target_id
1	1.0	Arivale	Cardiac catheterization	Israeli10K	Cardiac Catheterization	arivale_72c6c46f5818	il10k_cardiac_catheterization_past_year
2	0.9673	Arivale	Pneumonia vaccine	Israeli10K	Vaccine pneumonia	arivale_3b59f1f2b26f	il10k_vaccine_pneumonia
3	0.8821	Arivale	Macular degeneration	Israeli10K	Age macular degeneration diagnosed	arivale_a5fa788f205b	il10k_health_eyes_macular_degeneration_eye_start_age
4	0.8811	Arivale	Flu vaccine	Israeli10K	Vaccine influenza	arivale_736ece16f75f	il10k_vaccine_flue
5	0.8745	Arivale	Periodontal disease	Israeli10K	Periodontal diseases diagnosis	arivale_2ddc03727aff	il10k_periodontal_diseases_diagnosis
6	0.8485	Arivale	Colonoscopy	Israeli10K	Normal colonoscopy	arivale_3536e32e04ef	il10k_mammogram_past_year_result
7	0.8427	Arivale	Mammogram	Israeli10K	Normal mammogram	arivale_0291ef445751	il10k_psa_test_past_year_result
8	0.8366	Arivale	Non-celiac gluten sensitivity	Israeli10K	Diagnosed with coeliac disease or gluten sensitivity	arivale_8ac63334a5ad	il10k_history_diagnoses_celiac
9	0.8349	Arivale	I have frequent mood swings.	Israeli10K	Mood swings	arivale_c5f90322357e	il10k_health_mental_current_mood_swings_frequency
10	0.8203	Arivale	Type 1 diabetes	Israeli10K	Type 1 diabetes family number	arivale_4dfab4b70190	il10k_type_1_diabetes_family_number
11	0.814	Arivale	When you do VIGOROUS activities, for how long do you typically do these activities?	Israeli10K	Duration of vigorous activity	arivale_da46b8152d80	il10k_activity_vigorous_minutes_daily
12	0.8107	Israeli10K	Which eye(s) affected by hypermetropia (long sight)	UKBB	ACE touchscreen question Which eye(s) are affected by hypermetropia (long sight)?	il10k_health_eyes_long_sight_eye	ukbb_5832
13	0.8106	Israeli10K	Which eye(s) affected by injury or trauma resulting in loss of vision	UKBB	ACE touchscreen question Which eye(s) are affected by injury or trauma resulting in loss of vision?	il10k_health_eyes_injury_trauma_eye	ukbb_5419
14	0.8043	Israeli10K	Which eye(s) affected by amblyopia (lazy eye)	UKBB	ACE touchscreen question Which eye(s) are affected by amblyopia (lazy eye)?	il10k_health_eyes_amblyopia_eye	ukbb_5408
15	0.7987	Israeli10K	Ever had prostate specific antigen (PSA) test	UKBB	ACE touchscreen question Have you ever had a blood test for prostate cancer (prostate specific antigen or PSA test)?	il10k_health_cancer_past_prostate_screening	ukbb_2365
16	0.7948	Arivale	Glaucoma	Israeli10K	Which eye(s) affected by glaucoma	arivale_0a7e0a8029f4	il10k_health_eyes_glaucoma_eye
17	0.7908	Arivale	Insomnia	Israeli10K	Sleeplessness / insomnia	arivale_29a0e1ac1bee	il10k_sleep_insomnia
18	0.7907	Arivale	Fresh fruit	Israeli10K	Fresh fruit daily intake	arivale_5e385a618859	il10k_diet_fruit_fresh_intake_choice
19	0.7872	Arivale	Other surgery or major medical procedure	Israeli10K	What surgery	arivale_84325ad15b6f	il10k_eco_heart_past_year
20	0.784	Arivale	Endometriosis	Israeli10K	Endometriosis surgery year	arivale_cfc1863fb569	il10k_endometriosis_surgery_year
21	0.7837	Arivale	Which type of breakfast cereal do you normally eat?	Israeli10K	Cereal type	arivale_ad12706cc756	il10k_diet_cereal_type
22	0.7835	Israeli10K	Which eye(s) affected by astigmatism	UKBB	ACE touchscreen question Which eye(s) are affected by astigmatism?	il10k_health_eyes_astigmatism_eye	ukbb_5855
23	0.7811	Israeli10K	Which eye(s) affected by strabismus (squint)	UKBB	ACE touchscreen question Which eye(s) are affected by strabismus (squint)?	il10k_health_eyes_squint_eye	ukbb_6205
24	0.7791	Arivale	What kind of bread do you usually eat?	Israeli10K	Bread type	arivale_7757444b1437	il10k_diet_bread_type
25	0.7773	Israeli10K	Which eye(s) affected by myopia (short sight)	UKBB	ACE touchscreen question Which eye(s) are affected by myopia (short sight)?	il10k_health_eyes_short_sight_eye	ukbb_5843
26	0.7766	Israeli10K	Age started wearing glasses or contact lenses	UKBB	ACE touchscreen question What age did you first start to wear glasses or contact lenses?	il10k_health_eyes_glasses_contacts_start_age	ukbb_2217
27	0.7764	Arivale	Type 2 diabetes	Israeli10K	Type 2 diabetes family number	arivale_2c054907660d	il10k_type_2_diabetes_family_number
28	0.7756	Arivale	How many children do you have?	Israeli10K	Number of children	arivale_5577960cc1a6	il10k_number_of_children
29	0.7729	Arivale	When you do MODERATE activities, for how long do you typically do these activities?	Israeli10K	Duration of moderate activity	arivale_8746149595a1	il10k_activity_moderate_minutes_daily
30	0.7705	Arivale	Did you use tobacco in the past?	Israeli10K	Past tobacco smoking	arivale_58decd712347	il10k_smoking_past_frequency
31	0.7692	Arivale	Back pain or back problems	Israeli10K	Back pain for 3+ months	arivale_2224d17bff1f	il10k_health_pain_past_3_months_back
32	0.7672	Israeli10K	Which eye(s) affected by presbyopia	UKBB	ACE touchscreen question Which eye(s) are affected by presbyopia?	il10k_health_eyes_reading_glasses_eye	ukbb_5610
33	0.7651	Arivale	Cataracts	Israeli10K	Which eye(s) are affected by cataract	arivale_2c3eaefd1049	il10k_health_eyes_cataract_eye
34	0.7625	Israeli10K	Time from waking to first cigarette	UKBB	ACE touchscreen question How soon after waking do you smoke your first cigarette of the day?	il10k_smoking_current_time_after_wake	ukbb_3466
35	0.759	Arivale	Irritable bowel syndrome (IBS)	Israeli10K	Ever diagnosed with IBS	arivale_1ef85a81085b	il10k_history_diagnoses_ibs
36	0.7549	Israeli10K	Hair colour (natural, before greying)	UKBB	ACE touchscreen question What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)	il10k_hair_color	ukbb_1747
37	0.7496	Arivale	I have abdominal/digestive pain	Israeli10K	Currently (in last 3 months) suffer from abdominal pain	arivale_5207ffc52c5b	il10k_abdomen_pain_current
38	0.7471	Arivale	I have bowel movements	Israeli10K	More frequent bowel movements when abdominal discomfort/pain started	arivale_c63907c8b057	il10k_abdomen_pain_increases_bowl_movements
39	0.7417	Israeli10K	Which eye(s) affected by diabetes-related eye disease	UKBB	ACE touchscreen question Which eye(s) are affected by diabetes related eye disease?	il10k_health_eyes_diabetes_eye	ukbb_5890
